actionlint;rhysd/actionlint
act;nektos/act
age;FiloSottile/age
age-keygen;FiloSottile/age
aichat;sigoden/aichat
argo;argoproj/argo-workflows
assh;moul/assh
atlas;mongodb/mongodb-atlas-cli
autocorrect;huacnlee/autocorrect
bandwhich;imsnif/bandwhich
bat;sharkdp/bat
bore;ekzhang/bore
bosh;cloudfoundry/bosh-cli
btm;ClementTsang/bottom
buf;bufbuild/buf
bun;oven-sh/bun
caddy;caddyserver/caddy
cargo-audit;RustSec/rustsec
cargo-binstall;cargo-bins/cargo-binstall
cargo-bloat;RazrFalcon/cargo-bloat
cargo-fuzz;rust-fuzz/cargo-fuzz
cargo-hack;taiki-e/cargo-hack
cargo-leptos;leptos-rs/cargo-leptos
cargo-llvm-cov;taiki-e/cargo-llvm-cov
cargo-make;sagiegurari/cargo-make
cargo-nextest;nextest-rs/nextest
cargo-outdated;kbknapp/cargo-outdated
cargo-semver-checks;obi1kenobi/cargo-semver-checks
cargo-sort;DevinR528/cargo-sort
cargo-tarpaulin;xd009642/tarpaulin
cargo-udeps;est31/cargo-udeps
cargo-watch;watchexec/cargo-watch
cargo-zigbuild;rust-cross/cargo-zigbuild
cheat;cheat/cheat
chezmoi;twpayne/chezmoi
choose;theryangeary/choose
chroma;alecthomas/chroma
circleci;CircleCI-Public/circleci-cli
cloudflared;cloudflare/cloudflared
coreutils;uutils/coreutils
cosign;sigstore/cosign
croc;schollz/croc
csview;wfxr/csview
csvlens;YS-L/csvlens
ctop;bcicen/ctop
dasel;TomWright/dasel
dbmate;amacneil/dbmate
ddev;ddev/ddev
ddosify;ddosify/ddosify
delta;dandavison/delta
deno;denoland/deno
devbox;jetpack-io/devbox
difft;Wilfred/difftastic
direnv;direnv/direnv
dive;wagoodman/dive
docker-compose;docker/compose
doctl;digitalocean/doctl
doggo;mr-karan/doggo
doppler;DopplerHQ/cli
dprint;dprint/dprint
drill;fcsonline/drill
dua;Byron/dua-cli
duf;muesli/duf
dufs;sigoden/dufs
dust;bootandy/dust
earthly;earthly/earthly
erd;solidiquis/erdtree
exa;ogham/exa
exercism;exercism/cli
eza;eza-community/eza
fclones;pkolaczk/fclones
fd;sharkdp/fd
feroxbuster;epi052/feroxbuster
fnm;Schniz/fnm
fq;wader/fq
fvm;leoafarias/fvm
fx;antonmedv/fx
fzf;junegunn/fzf
gdu;dundee/gdu
genact;svenstaro/genact
gh;cli/cli
ghorg;gabrie30/ghorg
ghq;x-motemen/ghq
ghz;bojand/ghz
gibo;simonwhitaker/gibo
git-cliff;orhun/git-cliff
gitleaks;gitleaks/gitleaks
git-lfs;git-lfs/git-lfs
